ADEL,CEPDL,1
RIH,CEPDL,1
RMGL,CEPDL,1
URBL,CEPDL,1
IL2DR,CEPDR,1
OLLR,CEPDR,2
ALMR,CEPDR,1
ADER,CEPDR,1
RIH,CEPDR,1
RIS,CEPDR,1
URBR,CEPDR,1
OLLL,CEPVL,4
ALML,CEPVL,2
RIAL,CEPVL,1
RIH,CEPVL,1
RIS,CEPVL,2
ASKR,CEPVR,1
OLLR,CEPVR,6
ALMR,CEPVR,1
RIAR,CEPVR,1
RIH,CEPVR,2
RIS,CEPVR,1
AIML,ALML,1
RIFL,ALML,2
RMGL,ALML,1
SDQL,ALML,1
BDUR,ALMR,1
PVM,AVM,1
AVKL,AVM,1
PDEL,PVM,2
AVKL,PVM,1
AVJL,PLMR,2
RIGL,ALNL,1
RMGL,ALNL,1
SAAVL,ALNL,1
RIGR,ALNR,1
RMGR,ALNR,1
SMBVL,PLNL,1
FLPR,FLPL,2
ADEL,FLPL,2
ADER,FLPL,1
AIBL,FLPL,1
SDQL,FLPL,1
PVCR,FLPL,1
FLPL,FLPR,1
ADER,FLPR,1
ADAL,FLPR,1
PVDR,PVDL,1
PVCR,PVDL,1
AQR,BAGL,2
AINL,BAGL,3
RIBR,BAGL,2
IL2VL,BAGR,1
BAGL,BAGR,1
AQR,BAGR,2
AINR,BAGR,3
RIBL,BAGR,1
RIGL,BAGR,1
RIH,BAGR,1
RIR,BAGR,1
IL2L,URXL,2
AQR,URXL,1
RIR,URXL,5
RMGL,URXL,1
URBL,URXL,4
ADFR,URXR,1
IL1R,URXR,2
IL2VR,URXR,1
AUAR,URXR,1
RIR,URXR,2
RMGR,URXR,1
URBR,URXR,6
IL1DL,URYDL,1
OLLL,URYDL,1
CEPDL,URYDL,2
RMDDR,URYDL,1
CEPDR,URYDR,1
URADR,URYDR,1
IL1VL,URYVL,1
RIH,URYVR,1
RIS,URYVR,1
AVHR,AQR,2
DVA,AQR,4
PVPL,AQR,1
PVPR,AQR,2
PVCR,AQR,1
PVNL,PQR,1
PVNR,PQR,2
AVDR,PQR,1
LUAR,PQR,1
ADFL,AUAL,5
IL2DL,AUAL,1
URXL,AUAL,5
RIBL,AUAL,1
RIR,AUAL,1
DVA,AUAL,1
ADFR,AUAR,4
AWAR,AUAR,1
URXR,AUAR,4
AINL,AUAR,1
AINR,AUAR,1
RIH,AUAR,1
DVA,AUAR,1
IL2L,ADEL,2
FLPL,ADEL,2
ADER,ADEL,2
ALA,ADEL,1
BDUL,ADEL,3
IL2R,ADER,2
AVM,ADER,2
ALNR,ADER,1
FLPL,ADER,2
FLPR,ADER,2
ADEL,ADER,1
BDUR,ADER,1
AVAR,ADER,1
PVM,PDEL,7
PLMR,PDEL,2
AVKL,PDEL,3
DVA,PDEL,3
PVR,PDEL,1
PVCR,PDEL,1
AVAR,PDEL,1
PVM,PDER,8
PLMR,PDER,3
PDEL,PDER,1
AVFL,PDER,1
AVKL,PDER,1
PVR,PDER,1
AVAR,PDER,1
PHAR,PHAL,6
AVG,PHAL,2
PHAL,PHAR,5
PHAL,PHBL,5
PHAR,PHBL,1
PHBR,PHBL,1
LUAL,PHBL,1
PHAL,PHBR,5
PHAR,PHBR,5
PHBL,PHBR,1
PHCR,PHCL,1
DVB,PHCL,1
ADLL,AIAL,6
ASEL,AIAL,3
ASER,AIAL,2
ASGL,AIAL,9
ASHL,AIAL,7
ASIR,AIAL,1
ASKL,AIAL,11
AWCL,AIAL,2
AIZL,AIAL,3
AIML,AIAL,5
AINR,AIAL,2
PVQL,AIAL,6
HSNL,AIAL,1
ADLR,AIAR,10
ASER,AIAR,3
ASGR,AIAR,10
ASHR,AIAR,10
ASIR,AIAR,3
ASKR,AIAR,11
AWCL,AIAR,4
AWCR,AIAR,2
AIZR,AIAR,1
AIMR,AIAR,5
PVQR,AIAR,7
ADLL,AIBL,7
ASEL,AIBL,7
ASER,AIBL,2
ASGL,AIBL,3
ASHL,AIBL,5
ASIL,AIBL,1
ASKL,AIBL,2
AWCL,AIBL,2
FLPL,AIBL,2
BAGL,AIBL,1
AIAL,AIBL,10
AIZL,AIBL,4
AIZR,AIBL,8
ADAL,AIBL,1
ADAR,AIBL,1
AINR,AIBL,2
RIBR,AIBL,2
SDQR,AIBL,2
DVC,AIBL,1
PVT,AIBL,2
SAADL,AIBL,1
SAAVL,AIBL,1
RIMR,AIBL,4
HSNR,AIBL,1
ADLL,AIBR,1
ADLR,AIBR,10
ASEL,AIBR,4
ASER,AIBR,10
ASGR,AIBR,2
ASHR,AIBR,3
ASIR,AIBR,1
AWBL,AIBR,1
AWCL,AIBR,1
AWCR,AIBR,4
FLPL,AIBR,2
FLPR,AIBR,1
AIAR,AIBR,14
AIZL,AIBR,8
AIZR,AIBR,1
ADAL,AIBR,2
ADAR,AIBR,1
RIBL,AIBR,2
RMGL,AIBR,1
SDQL,AIBR,1
DVC,AIBR,3
PVT,AIBR,4
SAADR,AIBR,1
VB1,AIBR,1
HSNR,AIBR,1
ASEL,AIYL,13
ASER,AIYL,4
ASIL,AIYL,2
AWAL,AIYL,1
AWCL,AIYL,10
AWCR,AIYL,4
AFDL,AIYL,7
BAGR,AIYL,1
AIBL,AIYL,1
ADFR,AIYR,1
ASEL,AIYR,6
ASER,AIYR,14
ASGR,AIYR,1
AWAR,AIYR,2
AWCR,AIYR,9
AFDR,AIYR,13
AUAR,AIYR,1
ADFL,AIZL,12
ASIL,AIZL,1
AWAL,AIZL,10
