ASKL,ASHL,18
AIZL,ASHL,2
RICL,ASHL,5
RMGL,ASHL,3
ASHL,ASHR,7
ASKR,ASHR,2
AFDR,ASHR,4
AIAR,ASHR,1
AIZR,ASHR,6
ADAR,ASHR,3
RICR,ASHR,4
RMGR,ASHR,3
AVHL,ASHR,2
AVAR,ASHR,2
AVER,ASHR,1
AIAL,ASIL,1
AINR,ASIL,1
ASGR,ASIR,4
AIAL,ASIR,2
AIAR,ASIR,3
AIYR,ASIR,1
ASJR,ASJL,7
IL2L,ASJL,1
AIAL,ASJL,1
ALA,ASJL,2
PVQL,ASJL,1
RIVL,ASJL,1
ASJL,ASJR,7
AIMR,ASJR,1
PVQR,ASJR,5
ASHL,ASKL,18
ASKR,ASKL,9
AIAL,ASKL,2
AIBL,ASKL,1
AVHL,ASKL,8
PVQL,ASKL,8
HSNL,ASKL,1
ADLR,ASKR,1
ASHR,ASKR,2
ASKL,ASKR,9
ASKR,ASKR,2
AIAR,ASKR,1
AIBR,ASKR,3
ALA,ASKR,1
RMGR,ASKR,1
AVHR,ASKR,10
PVQR,ASKR,25
HSNR,ASKR,3
ADLL,AWAL,1
AWAR,AWAL,2
AIZL,AWAL,3
ADFR,AWAR,3
AWAL,AWAR,2
AIAR,AWAR,3
AIZR,AWAR,3
ASGL,AWBL,1
AWBR,AWBL,3
AUAL,AWBL,4
AIAL,AWBL,1
RMGL,AWBL,1
ADFR,AWBR,1
ASER,AWBR,1
AWBL,AWBR,3
AUAR,AWBR,3
RICL,AWBR,4
RMGR,AWBR,1
ADFL,AWCL,1
ASEL,AWCL,1
AUAL,AWCL,1
ASEL,AWCR,2
ASGR,AWCR,2
AFDR,AWCR,3
AIAL,AWCR,1
AIAR,AWCR,1
ADFL,AFDL,3
ASEL,AFDL,6
AFDR,AFDL,1
AIBL,AFDL,2
AIYL,AFDL,2
URBL,AFDL,9
AVEL,AFDL,1
ADFR,AFDR,5
ASEL,AFDR,2
ASER,AFDR,1
ASHR,AFDR,4
AWCR,AFDR,3
AFDL,AFDR,1
URBR,AFDR,2
RMDVR,AFDR,1
IL1DR,IL1DL,3
IL1L,IL1DL,2
RMEV,IL1DL,1
IL1DL,IL1DR,3
IL1R,IL1DR,8
RMDVR,IL1DR,1
RMEV,IL1DR,4
IL1DL,IL1L,2
IL1VL,IL1L,8
RIPL,IL1L,1
URBL,IL1L,2
RMER,IL1L,1
IL1DR,IL1R,8
IL1VR,IL1R,8
IL1L,IL1VL,8
IL1VR,IL1VL,11
RMDDL,IL1VL,1
RMED,IL1VL,3
IL1R,IL1VR,8
IL1VL,IL1VR,11
IL2VR,IL1VR,1
URAVR,IL1VR,4
URADL,IL2DL,1
RMED,IL2DR,1
URADR,IL2DR,1
ASJL,IL2L,1
OLLL,IL2L,2
URXL,IL2L,1
RMGL,IL2L,5
URBL,IL2L,4
RMDL,IL2L,2
RMER,IL2L,2
URAVL,IL2L,1
URXR,IL2R,4
RMGR,IL2R,1
URBR,IL2R,4
URAVL,IL2VL,3
IL1VR,IL2VR,1
CEPVR,IL2VR,1
CEPDL,OLQDL,2
RIBL,OLQDL,5
RIGL,OLQDL,3
URBL,OLQDL,3
RMDVL,OLQDL,1
CEPDR,OLQDR,8
RIBR,OLQDR,5
RIGR,OLQDR,4
RIH,OLQDR,2
URBR,OLQDR,7
RMDVR,OLQDR,1
CEPVL,OLQVL,4
ADAL,OLQVL,4
RIBL,OLQVL,2
RIGL,OLQVL,2
RMDDL,OLQVL,3
CEPVR,OLQVR,1
RIBR,OLQVR,6
RIGR,OLQVR,6
URBR,OLQVR,5
RMDVL,OLQVR,2
IL2L,OLLL,2
OLLR,OLLL,11
RIGL,OLLL,3
OLLL,OLLR,11
RIGR,OLLR,5
OLQDL,CEPDL,2
OLQDR,CEPDR,8
OLQVL,CEPVL,4
RIH,CEPVL,1
URAVL,CEPVL,3
IL2VR,CEPVR,1
OLQVR,CEPVR,1
AIMR,CEPVR,1
AVM,ALML,7
BDUL,ALML,23
RMGL,ALML,3
PVR,ALML,3
RMDDR,ALML,2
SMBDR,ALML,1
AVM,ALMR,16
BDUR,ALMR,23
SDQR,ALMR,2
PVR,ALMR,3
AVDR,ALMR,2
ALML,AVM,7
ALMR,AVM,16
PVR,AVM,4
AVDL,AVM,8
PVM,PVM,1
PDEL,PVM,11
PDER,PVM,8
AVKL,PVM,1
DVA,PVM,1
PVR,PVM,1
PLNL,PLML,1
PDEL,PLML,2
PDER,PLML,3
PHCL,PLML,11
PVCL,PLML,4
LUAL,PLML,8
PLNR,PLMR,1
PDEL,PLMR,4
PDER,PLMR,2
PVR,PLMR,3
PVCR,PLMR,8
LUAR,PLMR,9
SMBDR,ALNL,3
SMDDR,ALNL,2
SMDVL,ALNL,1
ADER,ALNR,2
RMGR,ALNR,1
PVR,ALNR,16
SMDDL,ALNR,1
PLML,PLNL,1
PHAL,PLNL,1
PHBL,PLNL,1
PHCL,PLNL,2
PVWL,PLNL,1
